builder_key,mean,median,p90,p95,p99,max
qwen35_0_8b,1.3562231759656653,1.0,3.0,4.0,10.0,52
qwen35_2b,1.6103004291845493,1.0,3.0,5.0,13.0,93
qwen35_4b,1.7262954796030872,1.0,3.0,5.0,14.0,101
qwen35_9b,1.9066269779100737,1.0,4.0,6.0,16.0,109
qwen3_0_6b,1.5827943078913325,1.0,3.0,5.0,15.0,115
qwen3_1_7b,2.005449591280654,1.0,4.0,7.0,17.0,130
qwen3_4b,1.765219624967891,1.0,3.0,5.0,20.0,151
qwen3_8b,0.36038985194553974,0.0,1.0,2.0,6.0,62
gemma3_270m,0.3107177974434612,0.0,1.0,1.0,3.0,7
gemma3_1b,1.1693799792171804,1.0,3.0,4.0,10.0,38
gemma3_4b,1.5414416092382195,1.0,3.0,4.0,12.0,83
gemma3_12b,1.6199616122840692,1.0,3.0,5.0,13.0,93
