builder_key,documents,entity_mentions_mean,entity_mentions_median,entity_mentions_min,entity_mentions_max,relations_mean,relations_median,relations_min,relations_max
qwen35_0_8b,155,23.44516129032258,17.0,4,181,13.819354838709678,10.0,0,117
qwen35_2b,155,45.71612903225807,30.0,11,340,31.56774193548387,22.0,5,217
qwen35_4b,155,59.89032258064516,45.0,17,381,42.76129032258064,34.0,12,245
qwen35_9b,155,53.47096774193548,39.0,16,341,41.748387096774195,31.0,12,264
qwen3_0_6b,155,25.35483870967742,18.0,2,192,16.232258064516127,12.0,0,125
qwen3_1_7b,155,34.67741935483871,23.0,3,202,29.406451612903226,21.0,2,188
qwen3_4b,155,61.07096774193548,46.0,10,289,46.380645161290325,37.0,3,268
qwen3_8b,155,103.67096774193548,83.0,20,505,15.896774193548387,5.0,0,128
gemma3_270m,155,8.258064516129032,6.0,1,47,1.096774193548387,0.0,0,9
gemma3_1b,155,22.483870967741936,16.0,2,158,11.503225806451614,10.0,0,62
gemma3_4b,155,43.483870967741936,30.0,2,337,28.374193548387098,21.0,0,214
gemma3_12b,155,44.18064516129032,32.0,12,306,29.10322580645161,22.0,8,194
