builder_key,qwen35_0_8b,qwen35_2b,qwen35_4b,qwen35_9b,qwen3_0_6b,qwen3_1_7b,qwen3_4b,qwen3_8b,gemma3_270m,gemma3_1b,gemma3_4b,gemma3_12b
qwen35_0_8b,1.0,0.07223548130469372,0.06300422589320015,0.06025824964131994,0.057855126999059266,0.07499168606584636,0.05736342042755344,0.04219114219114219,0.009149130832570906,0.06129398410896708,0.0640275387263339,0.07162393162393163
qwen35_2b,0.07223548130469372,1.0,0.14444211848440444,0.14941792160632275,0.05958395245170877,0.10105288636088587,0.11458937198067633,0.059507829977628636,0.004775747508305648,0.0588137564379465,0.12207230142566192,0.14260043640097547
qwen35_4b,0.06300422589320015,0.14444211848440444,1.0,0.27445708376421923,0.05051359516616314,0.11203838931775506,0.1541104943166799,0.07332177359425315,0.0043935352267378,0.050436854646544876,0.15711418376449598,0.21041064198958936
qwen35_9b,0.06025824964131994,0.14941792160632275,0.27445708376421923,1.0,0.05562438057482656,0.11527009783071034,0.16692245192741717,0.08869520635734426,0.004029658284977434,0.05104251286217168,0.15755444646098005,0.22816229116945108
qwen3_0_6b,0.057855126999059266,0.05958395245170877,0.05051359516616314,0.05562438057482656,1.0,0.0730829420970266,0.058776626039412236,0.046481601032924466,0.0069767441860465115,0.048730964467005075,0.0540323873657207,0.06661329063250601
qwen3_1_7b,0.07499168606584636,0.10105288636088587,0.11203838931775506,0.11527009783071034,0.0730829420970266,1.0,0.11405678108616085,0.05141625615763547,0.005285179475886369,0.058854166666666666,0.09317803660565724,0.10814282044695607
qwen3_4b,0.05736342042755344,0.11458937198067633,0.1541104943166799,0.16692245192741717,0.058776626039412236,0.11405678108616085,1.0,0.07842680940190831,0.0038704128440366975,0.049029245514868515,0.12064917831989384,0.15043143777939494
qwen3_8b,0.04219114219114219,0.059507829977628636,0.07332177359425315,0.08869520635734426,0.046481601032924466,0.05141625615763547,0.07842680940190831,1.0,0.005868544600938967,0.03871457489878542,0.06750366867764553,0.08292523669604962
gemma3_270m,0.009149130832570906,0.004775747508305648,0.0043935352267378,0.004029658284977434,0.0069767441860465115,0.005285179475886369,0.0038704128440366975,0.005868544600938967,1.0,0.01154480483782298,0.0056364490371066224,0.005523590333716916
gemma3_1b,0.06129398410896708,0.0588137564379465,0.050436854646544876,0.05104251286217168,0.048730964467005075,0.058854166666666666,0.049029245514868515,0.03871457489878542,0.01154480483782298,1.0,0.06034639927073838,0.0636036036036036
gemma3_4b,0.0640275387263339,0.12207230142566192,0.15711418376449598,0.15755444646098005,0.0540323873657207,0.09317803660565724,0.12064917831989384,0.06750366867764553,0.0056364490371066224,0.06034639927073838,1.0,0.17237988198932283
gemma3_12b,0.07162393162393163,0.14260043640097547,0.21041064198958936,0.22816229116945108,0.06661329063250601,0.10814282044695607,0.15043143777939494,0.08292523669604962,0.005523590333716916,0.0636036036036036,0.17237988198932283,1.0
