builder_key,model,family,parameters_b,nodes,edges,avg_degree,median_degree,max_degree,density,transitivity,components,largest_component,largest_component_share,isolates,isolate_share,mean_docs_per_node,mean_chunks_per_node
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,3029,2054,1.3562231759656653,1.0,52,0.0004478940475448036,0.04498500499833389,1226,774,0.25552987784747444,956,0.3156157147573457,1.1997358864311654,1.3512710465500164
qwen35_2b,Qwen3.5 2B,qwen3.5,2.0,5825,4690,1.6103004291845493,1.0,93,0.0002764938923737207,0.038840717424872315,1826,2529,0.43416309012875537,1154,0.19811158798283263,1.2164806866952789,1.3739055793991417
qwen35_4b,Qwen3.5 4B,qwen3.5,4.0,7256,6263,1.7262954796030872,1.0,101,0.00023794562089635935,0.02547995613953575,2020,3766,0.5190187431091511,1321,0.18205622932745313,1.2793550165380374,1.4947629547960308
qwen35_9b,Qwen3.5 9B,qwen3.5,9.0,6383,6085,1.9066269779100737,1.0,109,0.0002987507016468307,0.026710568313538394,1458,3854,0.6037913206955977,979,0.1533761554128153,1.2984490051699829,1.5357982140059534
qwen3_0_6b,Qwen3 0.6B,qwen3,0.6,3092,2447,1.5827943078913325,1.0,115,0.0005120654506280596,0.03192007797270955,1044,1543,0.49902975420439843,809,0.2616429495472186,1.2710219922380337,1.4385510996119018
qwen3_1_7b,Qwen3 1.7B,qwen3,1.7,4404,4416,2.005449591280654,1.0,130,0.0004554734479401894,0.06799902510358274,1161,2474,0.5617620345140781,950,0.21571298819255222,1.2204813805631245,1.3880563124432335
qwen3_4b,Qwen3 4B,qwen3,4.0,7786,6872,1.765219624967891,1.0,151,0.00022674625882696095,0.026537414697645062,2367,4624,0.5938864628820961,2138,0.2745954276907269,1.2157718982789623,1.380041099409196
qwen3_8b,Qwen3 8B,qwen3,8.0,13441,2422,0.36038985194553974,0.0,62,2.681472112690028e-05,0.05609089601610816,11562,1327,0.0987277732311584,11414,0.8491927683952087,1.1955211665798675,1.3294397738263521
gemma3_270m,Gemma 3 270M,gemma3,0.27,1017,158,0.3107177974434612,0.0,7,0.0003058246037829342,0.125,864,8,0.007866273352999017,774,0.7610619469026548,1.2586037364798426,1.4001966568338249
gemma3_1b,Gemma 3 1B,gemma3,1.0,2887,1688,1.1693799792171804,1.0,38,0.00040519056798932104,0.07862824357804146,1460,637,0.22064426740561136,1309,0.4534118462071354,1.2071354347073087,1.3501905091790787
gemma3_4b,Gemma 3 4B,gemma3,4.0,5369,4138,1.5414416092382195,1.0,83,0.0002871538020190424,0.026552344074125295,1686,2196,0.4090147140994599,1001,0.1864406779661017,1.2553548146768485,1.439374185136897
gemma3_12b,Gemma 3 12B,gemma3,12.0,5210,4220,1.6199616122840692,1.0,93,0.0003109928224772642,0.02785049004687405,1604,2491,0.4781190019193858,1053,0.2021113243761996,1.3143953934740884,1.5378119001919386
