builder_key,qwen35_0_8b,qwen35_2b,qwen35_4b,qwen35_9b,qwen3_0_6b,qwen3_1_7b,qwen3_4b,qwen3_8b,gemma3_270m,gemma3_1b,gemma3_4b,gemma3_12b
qwen35_0_8b,1.0,0.31826374286572545,0.2818994835621615,0.3107614498454622,0.3212108013937282,0.333633741888969,0.2497070541363956,0.16701825852913363,0.12619449128724003,0.26390380073008374,0.30434782608695654,0.33742030407062285
qwen35_2b,0.31826374286572545,1.0,0.4375347647124263,0.4459346186085499,0.2888693871581103,0.3650921814022339,0.34543995184107557,0.25874313278842287,0.08605436705806659,0.2590809628008753,0.39328808446455504,0.4486873508353222
qwen35_4b,0.2818994835621615,0.4375347647124263,1.0,0.5980787476280834,0.2679413955798361,0.3638941398865784,0.4141124797097298,0.32554169402495076,0.07122207621550591,0.24577744659711873,0.42620516335389536,0.5077675840978594
qwen35_9b,0.3107614498454622,0.4459346186085499,0.5980787476280834,1.0,0.2849890230515917,0.3850835167680953,0.4247959183673469,0.32463529895212656,0.08094110683634212,0.2660601047697822,0.45094127914225157,0.5558416915153158
qwen3_0_6b,0.3212108013937282,0.2888693871581103,0.2679413955798361,0.2849890230515917,1.0,0.33753148614609574,0.2497080121466947,0.16625562164514726,0.12496521013080991,0.26301194539249145,0.2912426765340734,0.3255888996450468
qwen3_1_7b,0.333633741888969,0.3650921814022339,0.3638941398865784,0.3850835167680953,0.33753148614609574,1.0,0.3416592328278323,0.23256637168141592,0.10439786272092068,0.2753648672410761,0.38020759277690885,0.4070144414972001
qwen3_4b,0.2497070541363956,0.34543995184107557,0.4141124797097298,0.4247959183673469,0.2497080121466947,0.3416592328278323,1.0,0.3381658145103877,0.0689100581467277,0.21410433979686058,0.35743434132049806,0.4030439067119238
qwen3_8b,0.16701825852913363,0.25874313278842287,0.32554169402495076,0.32463529895212656,0.16625562164514726,0.23256637168141592,0.3381658145103877,1.0,0.04323881818858376,0.14572972972972972,0.25976522276378117,0.29204545454545455
gemma3_270m,0.12619449128724003,0.08605436705806659,0.07122207621550591,0.08094110683634212,0.12496521013080991,0.10439786272092068,0.0689100581467277,0.04323881818858376,1.0,0.11654135338345864,0.08823022574530415,0.09226401703335699
gemma3_1b,0.26390380073008374,0.2590809628008753,0.24577744659711873,0.2660601047697822,0.26301194539249145,0.2753648672410761,0.21410433979686058,0.14572972972972972,0.11654135338345864,1.0,0.26548262548262547,0.3003722285159411
gemma3_4b,0.30434782608695654,0.39328808446455504,0.42620516335389536,0.45094127914225157,0.2912426765340734,0.38020759277690885,0.35743434132049806,0.25976522276378117,0.08823022574530415,0.26548262548262547,1.0,0.48359264497878357
gemma3_12b,0.33742030407062285,0.4486873508353222,0.5077675840978594,0.5558416915153158,0.3255888996450468,0.4070144414972001,0.4030439067119238,0.29204545454545455,0.09226401703335699,0.3003722285159411,0.48359264497878357,1.0
