left,right,left_family,right_family,same_family,node_jaccard,edge_jaccard,shared_nodes,shared_edges
qwen35_4b,qwen35_9b,qwen3.5,qwen3.5,True,0.5980787476280834,0.27445708376421923,5043,2654
qwen35_9b,gemma3_12b,qwen3.5,gemma3,False,0.5558416915153158,0.22816229116945108,4101,1912
qwen35_4b,gemma3_12b,qwen3.5,gemma3,False,0.5077675840978594,0.21041064198958936,4151,1819
gemma3_4b,gemma3_12b,gemma3,gemma3,True,0.48359264497878357,0.17237988198932283,3419,1227
qwen35_9b,gemma3_4b,qwen3.5,gemma3,False,0.45094127914225157,0.15755444646098005,3617,1389
qwen35_2b,gemma3_12b,qwen3.5,gemma3,False,0.4486873508353222,0.14260043640097547,3384,1111
qwen35_2b,qwen35_9b,qwen3.5,qwen3.5,True,0.4459346186085499,0.14941792160632275,3724,1399
qwen35_2b,qwen35_4b,qwen3.5,qwen3.5,True,0.4375347647124263,0.14444211848440444,3933,1380
qwen35_4b,gemma3_4b,qwen3.5,gemma3,False,0.42620516335389536,0.15711418376449598,3731,1409
qwen35_9b,qwen3_4b,qwen3.5,qwen3,False,0.4247959183673469,0.16692245192741717,4163,1849
qwen35_4b,qwen3_4b,qwen3.5,qwen3,False,0.4141124797097298,0.1541104943166799,4337,1749
qwen3_1_7b,gemma3_12b,qwen3,gemma3,False,0.4070144414972001,0.10814282044695607,2762,842
qwen3_4b,gemma3_12b,qwen3,gemma3,False,0.4030439067119238,0.15043143777939494,3681,1447
qwen35_2b,gemma3_4b,qwen3.5,gemma3,False,0.39328808446455504,0.12207230142566192,3129,959
qwen35_9b,qwen3_1_7b,qwen3.5,qwen3,False,0.3850835167680953,0.11527009783071034,2974,1084
qwen3_1_7b,gemma3_4b,qwen3,gemma3,False,0.38020759277690885,0.09317803660565724,2674,728
qwen35_2b,qwen3_1_7b,qwen3.5,qwen3,False,0.3650921814022339,0.10105288636088587,2713,835
qwen35_4b,qwen3_1_7b,qwen3.5,qwen3,False,0.3638941398865784,0.11203838931775506,3080,1074
qwen3_4b,gemma3_4b,qwen3,gemma3,False,0.35743434132049806,0.12064917831989384,3416,1182
qwen35_2b,qwen3_4b,qwen3.5,qwen3,False,0.34543995184107557,0.11458937198067633,3443,1186
qwen3_1_7b,qwen3_4b,qwen3,qwen3,True,0.3416592328278323,0.11405678108616085,3064,1153
qwen3_4b,qwen3_8b,qwen3,qwen3,True,0.3381658145103877,0.07842680940190831,5225,674
qwen3_0_6b,qwen3_1_7b,qwen3,qwen3,True,0.33753148614609574,0.0730829420970266,1876,467
qwen35_0_8b,gemma3_12b,qwen3.5,gemma3,False,0.33742030407062285,0.07162393162393163,2064,419
qwen35_0_8b,qwen3_1_7b,qwen3.5,qwen3,False,0.333633741888969,0.07499168606584636,1851,451
qwen3_0_6b,gemma3_12b,qwen3,gemma3,False,0.3255888996450468,0.06661329063250601,2018,416
qwen35_4b,qwen3_8b,qwen3.5,qwen3,False,0.32554169402495076,0.07332177359425315,4958,592
qwen35_9b,qwen3_8b,qwen3.5,qwen3,False,0.32463529895212656,0.08869520635734426,4740,692
qwen35_0_8b,qwen3_0_6b,qwen3.5,qwen3,False,0.3212108013937282,0.057855126999059266,1475,246
qwen35_0_8b,qwen35_2b,qwen3.5,qwen3.5,True,0.31826374286572545,0.07223548130469372,2119,454
qwen35_0_8b,qwen35_9b,qwen3.5,qwen3.5,True,0.3107614498454622,0.06025824964131994,2212,462
qwen35_0_8b,gemma3_4b,qwen3.5,gemma3,False,0.30434782608695654,0.0640275387263339,1946,372
gemma3_1b,gemma3_12b,gemma3,gemma3,True,0.3003722285159411,0.0636036036036036,1856,353
qwen3_8b,gemma3_12b,qwen3,gemma3,False,0.29204545454545455,0.08292523669604962,4112,508
qwen3_0_6b,gemma3_4b,qwen3,gemma3,False,0.2912426765340734,0.0540323873657207,1889,337
qwen35_2b,qwen3_0_6b,qwen3.5,qwen3,False,0.2888693871581103,0.05958395245170877,1975,401
qwen35_9b,qwen3_0_6b,qwen3.5,qwen3,False,0.2849890230515917,0.05562438057482656,2077,449
qwen35_0_8b,qwen35_4b,qwen3.5,qwen3.5,True,0.2818994835621615,0.06300422589320015,2238,492
qwen3_1_7b,gemma3_1b,qwen3,gemma3,False,0.2753648672410761,0.058854166666666666,1566,339
qwen35_4b,qwen3_0_6b,qwen3.5,qwen3,False,0.2679413955798361,0.05051359516616314,2158,418
qwen35_9b,gemma3_1b,qwen3.5,gemma3,False,0.2660601047697822,0.05104251286217168,1930,377
gemma3_1b,gemma3_4b,gemma3,gemma3,True,0.26548262548262547,0.06034639927073838,1719,331
qwen35_0_8b,gemma3_1b,qwen3.5,gemma3,False,0.26390380073008374,0.06129398410896708,1229,216
qwen3_0_6b,gemma3_1b,qwen3,gemma3,False,0.26301194539249145,0.048730964467005075,1233,192
qwen3_8b,gemma3_4b,qwen3,gemma3,False,0.25976522276378117,0.06750366867764553,3784,414
qwen35_2b,gemma3_1b,qwen3.5,gemma3,False,0.2590809628008753,0.0588137564379465,1776,354
qwen35_2b,qwen3_8b,qwen3.5,qwen3,False,0.25874313278842287,0.059507829977628636,3862,399
qwen3_0_6b,qwen3_4b,qwen3,qwen3,True,0.2497080121466947,0.058776626039412236,2138,516
qwen35_0_8b,qwen3_4b,qwen3.5,qwen3,False,0.2497070541363956,0.05736342042755344,2131,483
qwen35_4b,gemma3_1b,qwen3.5,gemma3,False,0.24577744659711873,0.050436854646544876,1979,381
qwen3_1_7b,qwen3_8b,qwen3,qwen3,True,0.23256637168141592,0.05141625615763547,3285,334
qwen3_4b,gemma3_1b,qwen3,gemma3,False,0.21410433979686058,0.049029245514868515,1855,399
qwen35_0_8b,qwen3_8b,qwen3.5,qwen3,False,0.16701825852913363,0.04219114219114219,2296,181
qwen3_0_6b,qwen3_8b,qwen3,qwen3,True,0.16625562164514726,0.046481601032924466,2292,216
qwen3_8b,gemma3_1b,qwen3,gemma3,False,0.14572972972972972,0.03871457489878542,2022,153
