builder_key,weight_mean,weight_median,weight_p95,weight_max,multi_document_edge_share,multi_chunk_edge_share
qwen35_0_8b,3.1738072054527753,1.0,15.0,68.0,0.026777020447906523,0.03894839337877313
qwen35_2b,1.414498933901919,1.0,2.0,59.0,0.02771855010660981,0.04349680170575693
qwen35_4b,1.1301293309915377,1.0,2.0,22.0,0.038160625898131885,0.0672201820213955
qwen35_9b,1.1262119967132294,1.0,2.0,18.0,0.04174198849630238,0.08019720624486443
qwen3_0_6b,1.2913771965672252,1.0,2.0,73.0,0.02125051082958725,0.03146710257458112
qwen3_1_7b,2.426630434782609,1.0,6.0,215.0,0.021965579710144928,0.035778985507246376
qwen3_4b,1.164871944121071,1.0,2.0,30.0,0.029249126891734575,0.051949941792782305
qwen3_8b,1.134599504541701,1.0,2.0,14.0,0.014450867052023121,0.027250206440957887
gemma3_270m,1.1265822784810127,1.0,2.0,7.0,0.05063291139240506,0.05063291139240506
gemma3_1b,1.3169431279620853,1.0,3.0,18.0,0.031990521327014215,0.0462085308056872
gemma3_4b,1.1172063798936684,1.0,2.0,16.0,0.04325761237312711,0.0652489125181247
gemma3_12b,1.122037914691943,1.0,2.0,15.0,0.04549763033175355,0.07630331753554502
