builder_key,model,family,regime,nodes,edges,density,average_degree,connected_components,isolates,largest_component_share
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,Native,3029,2054,0.0004478940475448036,1.3562231759656653,1226,956,0.25552987784747444
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,ER,2995,2045,0.0004561153469989506,1.3656093489148582,1204,939,0.257762938230384
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,ER+RR,2995,2205,0.0004918016333167169,1.4724540901502505,1106,845,0.27545909849749584
qwen35_2b,Qwen3.5 2B,qwen3.5,Native,5825,4690,0.0002764938923737207,1.6103004291845493,1826,1154,0.43416309012875537
qwen35_2b,Qwen3.5 2B,qwen3.5,ER,5750,4677,0.0002829679263690472,1.6267826086956523,1775,1123,0.44173913043478263
qwen35_2b,Qwen3.5 2B,qwen3.5,ER+RR,5750,4755,0.0002876870835759716,1.653913043478261,1725,1082,0.45060869565217393
qwen35_4b,Qwen3.5 4B,qwen3.5,Native,7256,6263,0.00023794562089635935,1.7262954796030872,2020,1321,0.5190187431091511
qwen35_4b,Qwen3.5 4B,qwen3.5,ER,7153,6239,0.0002439098002089829,1.7444428910946457,1954,1289,0.5308262267580036
qwen35_4b,Qwen3.5 4B,qwen3.5,ER+RR,7153,6299,0.00024625546265689746,1.7612190689221305,1922,1265,0.5365580875157276
qwen35_9b,Qwen3.5 9B,qwen3.5,Native,6383,6085,0.0002987507016468307,1.9066269779100737,1458,979,0.6037913206955977
qwen35_9b,Qwen3.5 9B,qwen3.5,ER,6303,6058,0.0003050236816297952,1.9222592416309694,1420,955,0.6114548627637633
qwen35_9b,Qwen3.5 9B,qwen3.5,ER+RR,6303,6097,0.0003069873533999441,1.9346343011264477,1403,940,0.6141519911153419
qwen3_0_6b,Qwen3 0.6B,qwen3,Native,3092,2447,0.0005120654506280596,1.5827943078913325,1044,809,0.49902975420439843
qwen3_0_6b,Qwen3 0.6B,qwen3,ER,3045,2443,0.0005271345930188651,1.6045977011494252,1004,777,0.5057471264367817
qwen3_0_6b,Qwen3 0.6B,qwen3,ER+RR,3045,2666,0.0005752520773591053,1.7510673234811165,862,638,0.5556650246305419
qwen3_1_7b,Qwen3 1.7B,qwen3,Native,4404,4416,0.0004554734479401894,2.005449591280654,1161,950,0.5617620345140781
qwen3_1_7b,Qwen3 1.7B,qwen3,ER,4334,4383,0.00046679250077559124,2.0226119058606367,1123,918,0.5680664513151823
qwen3_1_7b,Qwen3 1.7B,qwen3,ER+RR,4334,4487,0.00047786857197811494,2.070604522381172,1083,877,0.5768343331795108
qwen3_4b,Qwen3 4B,qwen3,Native,7786,6872,0.00022674625882696095,1.765219624967891,2367,2138,0.5938864628820961
qwen3_4b,Qwen3 4B,qwen3,ER,7563,6822,0.00023856731201887221,1.8040460134867116,2224,2003,0.6099431442549252
qwen3_4b,Qwen3 4B,qwen3,ER+RR,7563,6897,0.00024119008369893896,1.8238794129313765,2186,1966,0.6152320507735026
qwen3_8b,Qwen3 8B,qwen3,Native,13441,2422,2.681472112690028e-05,0.36038985194553974,11562,11414,0.0987277732311584
qwen3_8b,Qwen3 8B,qwen3,ER,12542,2410,3.0644184888904845e-05,0.3843087226917557,10679,10535,0.1054058363897305
qwen3_8b,Qwen3 8B,qwen3,ER+RR,12542,2765,3.515816233104644e-05,0.4409185137936533,10361,10107,0.1197576144155637
gemma3_270m,Gemma 3 270M,gemma3,Native,1017,158,0.0003058246037829342,0.3107177974434612,864,774,0.007866273352999017
gemma3_270m,Gemma 3 270M,gemma3,ER,992,157,0.00031940692034764493,0.3165322580645161,841,757,0.015120967741935484
gemma3_270m,Gemma 3 270M,gemma3,ER+RR,992,436,0.0008870153966342242,0.8790322580645161,585,396,0.04939516129032258
gemma3_1b,Gemma 3 1B,gemma3,Native,2887,1688,0.00040519056798932104,1.1693799792171804,1460,1309,0.22064426740561136
gemma3_1b,Gemma 3 1B,gemma3,ER,2820,1686,0.00042417335255447457,1.195744680851064,1400,1251,0.225177304964539
gemma3_1b,Gemma 3 1B,gemma3,ER+RR,2820,1874,0.00047147144880610046,1.3290780141843972,1286,1130,0.24964539007092199
gemma3_4b,Gemma 3 4B,gemma3,Native,5369,4138,0.0002871538020190424,1.5414416092382195,1686,1001,0.4090147140994599
gemma3_4b,Gemma 3 4B,gemma3,ER,5294,4121,0.0002941350498848334,1.556856819040423,1636,974,0.4197204382319607
gemma3_4b,Gemma 3 4B,gemma3,ER+RR,5294,4218,0.0003010583936943041,1.5935020778239517,1586,936,0.4304873441632036
gemma3_12b,Gemma 3 12B,gemma3,Native,5210,4220,0.0003109928224772642,1.6199616122840692,1604,1053,0.4781190019193858
gemma3_12b,Gemma 3 12B,gemma3,ER,5149,4203,0.0003171231565094451,1.6325500097106234,1565,1032,0.48261798407457757
gemma3_12b,Gemma 3 12B,gemma3,ER+RR,5149,4286,0.0003233856409230268,1.664789279471742,1528,1013,0.5051466304136726
