builder_key,model,family,contrast,nodes,edges,density,average_degree,connected_components,isolates,largest_component_share
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,ER−Native,-34,-9,8.221299454147014e-06,0.009386172949192861,-22,-17,0.0022330603829095463
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,ER+RR−ER,0,160,3.5686286317766313e-05,0.10684474123539234,-98,-94,0.01769616026711185
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,ER+RR−Native,-34,151,4.390758577191333e-05,0.1162309141845852,-120,-111,0.019929220650021395
qwen35_2b,Qwen3.5 2B,qwen3.5,ER−Native,-75,-13,6.4740339953264846e-06,0.01648217951110298,-51,-31,0.007576040306027265
qwen35_2b,Qwen3.5 2B,qwen3.5,ER+RR−ER,0,78,4.719157206924433e-06,0.02713043478260868,-50,-41,0.008869565217391295
qwen35_2b,Qwen3.5 2B,qwen3.5,ER+RR−Native,-75,65,1.1193191202250917e-05,0.04361261429371166,-101,-72,0.01644560552341856
qwen35_4b,Qwen3.5 4B,qwen3.5,ER−Native,-103,-24,5.964179312623546e-06,0.01814741149155852,-66,-32,0.011807483648852535
qwen35_4b,Qwen3.5 4B,qwen3.5,ER+RR−ER,0,60,2.3456624479145627e-06,0.01677617782748486,-32,-24,0.005731860757724028
qwen35_4b,Qwen3.5 4B,qwen3.5,ER+RR−Native,-103,36,8.309841760538109e-06,0.03492358931904338,-98,-56,0.017539344406576562
qwen35_9b,Qwen3.5 9B,qwen3.5,ER−Native,-80,-27,6.272979982964498e-06,0.015632263720895656,-38,-24,0.007663542068165552
qwen35_9b,Qwen3.5 9B,qwen3.5,ER+RR−ER,0,39,1.963671770148902e-06,0.012375059495478347,-17,-15,0.002697128351578648
qwen35_9b,Qwen3.5 9B,qwen3.5,ER+RR−Native,-80,12,8.2366517531134e-06,0.028007323216374003,-55,-39,0.0103606704197442
qwen3_0_6b,Qwen3 0.6B,qwen3,ER−Native,-47,-4,1.506914239080546e-05,0.021803393258092774,-40,-32,0.006717372232383223
qwen3_0_6b,Qwen3 0.6B,qwen3,ER+RR−ER,0,223,4.8117484340240197e-05,0.14646962233169125,-142,-139,0.049917898193760246
qwen3_0_6b,Qwen3 0.6B,qwen3,ER+RR−Native,-47,219,6.318662673104566e-05,0.16827301558978403,-182,-171,0.05663527042614347
qwen3_1_7b,Qwen3 1.7B,qwen3,ER−Native,-70,-33,1.131905283540183e-05,0.01716231457998285,-38,-32,0.006304416801104162
qwen3_1_7b,Qwen3 1.7B,qwen3,ER+RR−ER,0,104,1.1076071202523695e-05,0.047992616520535325,-40,-41,0.00876788186432853
qwen3_1_7b,Qwen3 1.7B,qwen3,ER+RR−Native,-70,71,2.2395124037925525e-05,0.06515493110051818,-78,-73,0.015072298665432693
qwen3_4b,Qwen3 4B,qwen3,ER−Native,-223,-50,1.1821053191911265e-05,0.038826388518820476,-143,-135,0.016056681372829118
qwen3_4b,Qwen3 4B,qwen3,ER+RR−ER,0,75,2.6227716800667465e-06,0.01983339944466489,-38,-37,0.005288906518577385
qwen3_4b,Qwen3 4B,qwen3,ER+RR−Native,-223,25,1.4443824871978011e-05,0.058659787963485366,-181,-172,0.021345587891406503
qwen3_8b,Qwen3 8B,qwen3,ER−Native,-899,-12,3.829463762004565e-06,0.02391887074621596,-883,-879,0.006678063158572098
qwen3_8b,Qwen3 8B,qwen3,ER+RR−ER,0,355,4.513977442141591e-06,0.05660979110189762,-318,-428,0.014351778025833206
qwen3_8b,Qwen3 8B,qwen3,ER+RR−Native,-899,343,8.343441204146156e-06,0.08052866184811358,-1201,-1307,0.021029841184405304
gemma3_270m,Gemma 3 270M,gemma3,ER−Native,-25,-1,1.3582316564710744e-05,0.005814460621054951,-23,-17,0.007254694388936467
gemma3_270m,Gemma 3 270M,gemma3,ER+RR−ER,0,279,0.0005676084762865792,0.5625,-256,-361,0.034274193548387094
gemma3_270m,Gemma 3 270M,gemma3,ER+RR−Native,-25,278,0.0005811907928512899,0.568314460621055,-279,-378,0.04152888793732356
gemma3_1b,Gemma 3 1B,gemma3,ER−Native,-67,-2,1.898278456515353e-05,0.02636470163388349,-60,-58,0.004533037558927644
gemma3_1b,Gemma 3 1B,gemma3,ER+RR−ER,0,188,4.72980962516259e-05,0.1333333333333333,-114,-121,0.024468085106382986
gemma3_1b,Gemma 3 1B,gemma3,ER+RR−Native,-67,186,6.628088081677943e-05,0.1596980349672168,-174,-179,0.02900112266531063
gemma3_4b,Gemma 3 4B,gemma3,ER−Native,-75,-17,6.9812478657910225e-06,0.015415209802203567,-50,-27,0.010705724132500816
gemma3_4b,Gemma 3 4B,gemma3,ER+RR−ER,0,97,6.923343809470681e-06,0.036645258783528645,-50,-38,0.01076690593124291
gemma3_4b,Gemma 3 4B,gemma3,ER+RR−Native,-75,80,1.3904591675261704e-05,0.05206046858573221,-100,-65,0.021472630063743725
gemma3_12b,Gemma 3 12B,gemma3,ER−Native,-61,-17,6.1303340321809e-06,0.012588397426554154,-39,-21,0.004498982155191789
gemma3_12b,Gemma 3 12B,gemma3,ER+RR−ER,0,83,6.262484413581718e-06,0.03223926976111868,-37,-19,0.022528646339095015
gemma3_12b,Gemma 3 12B,gemma3,ER+RR−Native,-61,66,1.2392818445762619e-05,0.04482766718767284,-76,-40,0.027027628494286804
