builder_key,model,family,contrast,nodes,edges,density,average_degree,connected_components,isolates,largest_component_share
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,ER−Native,-1.1224826675470452,-0.43816942551119764,1.8355455936986131,0.6920817396082077,-1.7944535073409462,-1.7782426778242677,0.22330603829095463
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,ER+RR−ER,0.0,7.823960880195599,7.8239608801956,7.8239608801955995,-8.13953488372093,-10.010649627263046,1.769616026711185
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,ER+RR−Native,-1.1224826675470452,7.351509250243428,9.803118843083347,8.57019082436973,-9.787928221859707,-11.610878661087867,1.9929220650021395
qwen35_2b,Qwen3.5 2B,qwen3.5,ER−Native,-1.2875536480686696,-0.2771855010660981,2.3414745041007667,1.0235468619634847,-2.792990142387733,-2.68630849220104,0.7576040306027265
qwen35_2b,Qwen3.5 2B,qwen3.5,ER+RR−ER,0.0,1.667735728030789,1.6677357280307807,1.667735728030788,-2.816901408450704,-3.6509349955476402,0.8869565217391295
qwen35_2b,Qwen3.5 2B,qwen3.5,ER+RR−Native,-1.2875536480686696,1.3859275053304905,4.048259838999168,2.7083526467043755,-5.531215772179627,-6.239168110918544,1.644560552341856
qwen35_4b,Qwen3.5 4B,qwen3.5,ER−Native,-1.4195148842337375,-0.38320293788919046,2.5065303955399667,1.0512343747624828,-3.267326732673267,-2.4224072672218018,1.1807483648852535
qwen35_4b,Qwen3.5 4B,qwen3.5,ER+RR−ER,0.0,0.9616925789389326,0.9616925789389315,0.9616925789389262,-1.6376663254861823,-1.8619084561675718,0.5731860757724028
qwen35_4b,Qwen3.5 4B,qwen3.5,ER+RR−Native,-1.4195148842337375,0.5748044068337858,3.492328091281655,2.023036596670755,-4.851485148514851,-4.239212717638153,1.7539344406576562
qwen35_9b,Qwen3.5 9B,qwen3.5,ER−Native,-1.2533291555694814,-0.4437140509449466,2.0997373222507525,0.8198910380482906,-2.606310013717421,-2.4514811031664965,0.7663542068165552
qwen35_9b,Qwen3.5 9B,qwen3.5,ER+RR−ER,0.0,0.6437768240343348,0.6437768240343366,0.6437768240343349,-1.1971830985915493,-1.5706806282722514,0.2697128351578648
qwen35_9b,Qwen3.5 9B,qwen3.5,ER+RR−Native,-1.2533291555694814,0.1972062448644207,2.7570317685313386,1.468946130567915,-3.7722908093278464,-3.9836567926455566,1.03606704197442
qwen3_0_6b,Qwen3 0.6B,qwen3,ER−Native,-1.5200517464424321,-0.1634654679199019,2.9428156834878867,1.3775253770744351,-3.8314176245210727,-3.9555006180469716,0.6717372232383223
qwen3_0_6b,Qwen3 0.6B,qwen3,ER+RR−ER,0.0,9.128121162505117,9.128121162505106,9.128121162505114,-14.143426294820717,-17.88931788931789,4.991789819376025
qwen3_0_6b,Qwen3 0.6B,qwen3,ER+RR−Native,-1.5200517464424321,8.94973436861463,12.339560627170972,10.63138872504316,-17.43295019157088,-21.137206427688504,5.663527042614347
qwen3_1_7b,Qwen3 1.7B,qwen3,ER−Native,-1.589464123524069,-0.7472826086956522,2.485118042904708,0.8557838927790362,-3.273040482342808,-3.3684210526315788,0.6304416801104162
