contrast,metric,unit,median,minimum,maximum,decrease,unchanged,increase
ER−Native,nodes,%,-1.4697833153380848,-6.688490439699427,-1.1224826675470452,12,0,0
ER−Native,edges,%,-0.4244979558682136,-0.7472826086956522,-0.11848341232227488,12,0,0
ER−Native,density,%,2.4958242192223374,1.8355455936986131,14.28119928557781,0,0,12
ER−Native,average_degree,%,1.0373906183629837,0.6920817396082077,6.636943470270205,0,0,12
ER−Native,connected_components,%,-3.1164628918407855,-7.637087009167964,-1.7944535073409462,12,0,0
ER−Native,isolates,%,-2.6918055947518686,-7.70106886280007,-1.7782426778242677,12,0,0
ER−Native,largest_component_share,pp,0.6986033310659845,0.22330603829095463,1.6056681372829118,0,0,12
ER+RR−ER,nodes,%,0.0,0.0,0.0,0,12,0
ER+RR−ER,edges,%,2.3633008187254556,0.6437768240343348,177.70700636942675,0,0,12
ER+RR−ER,density,%,2.3633008187254454,0.6437768240343366,177.70700636942675,0,0,12
ER+RR−ER,average_degree,%,2.36330081872546,0.6437768240343349,177.70700636942675,0,0,12
ER+RR−ER,connected_components,%,-3.01702081479292,-30.439952437574316,-1.1971830985915493,12,0,0
ER+RR−ER,isolates,%,-3.9820428434016266,-47.68824306472919,-1.5706806282722514,12,0,0
ER+RR−ER,largest_component_share,pp,1.2559341978538057,0.2697128351578648,4.991789819376025,0,0,12
ER+RR−Native,nodes,%,-1.4697833153380848,-6.688490439699427,-1.1224826675470452,12,0,0
ER+RR−Native,edges,%,1.7705454833603014,0.1972062448644207,175.9493670886076,0,0,12
ER+RR−Native,density,%,5.643463965245045,2.7570317685313386,190.04056104779687,0,0,12
ER+RR−Native,average_degree,%,3.350237766478426,1.468946130567915,182.90373621886482,0,0,12
ER+RR−Native,connected_components,%,-7.18257828081862,-32.291666666666664,-3.7722908093278464,12,0,0
ER+RR−Native,isolates,%,-7.864556151838905,-48.83720930232558,-3.798670465337132,12,0,0
ER+RR−Native,largest_component_share,pp,2.1187714537905906,1.03606704197442,5.663527042614347,0,0,12
