regime,first_gold_rank,count,share
Native,1,266,0.2462962962962963
Native,2,24,0.022222222222222223
Native,3,27,0.025
Native,4,4,0.003703703703703704
Native,5,0,0.0
Native,6+,0,0.0
Native,Not found,759,0.7027777777777777
ER,1,309,0.2861111111111111
ER,2,94,0.08703703703703704
ER,3,11,0.010185185185185186
ER,4,1,0.000925925925925926
ER,5,0,0.0
ER,6+,0,0.0
ER,Not found,665,0.6157407407407407
ER+RR,1,304,0.2814814814814815
ER+RR,2,97,0.08981481481481482
ER+RR,3,15,0.013888888888888888
ER+RR,4,1,0.000925925925925926
ER+RR,5,1,0.000925925925925926
ER+RR,6+,0,0.0
ER+RR,Not found,662,0.6129629629629629
