Model,Retrieval hit rate (%),Gold-document recall (%),Mean reciprocal rank (%),Complete-chain recall@5 (%)
Qwen3.5 0.8B,38.88888888888889,19.537037037037035,32.03703703703704,3.3333333333333335
Qwen3.5 2B,35.55555555555556,15.925925925925927,32.77777777777778,3.3333333333333335
Qwen3.5 4B,31.11111111111111,13.055555555555557,30.0,1.1111111111111112
Qwen3.5 9B,30.0,12.12962962962963,26.111111111111114,1.1111111111111112
Qwen3 0.6B,44.44444444444444,19.537037037037035,39.72222222222222,2.2222222222222223
Qwen3 1.7B,34.44444444444444,15.74074074074074,32.77777777777778,3.3333333333333335
Qwen3 4B,26.666666666666668,11.944444444444445,24.444444444444443,2.2222222222222223
Qwen3 8B,45.55555555555556,21.48148148148148,37.77777777777778,4.444444444444445
Gemma 3 270M,42.22222222222222,18.51851851851852,35.92592592592593,1.1111111111111112
Gemma 3 1B,47.77777777777778,22.962962962962965,37.03703703703704,3.3333333333333335
Gemma 3 4B,42.22222222222222,18.148148148148145,34.81481481481482,2.2222222222222223
Gemma 3 12B,42.22222222222222,19.074074074074076,36.48148148148148,4.444444444444445
