Model,Retrieval hit rate (%),Gold-document recall (%),Mean reciprocal rank (%),Complete-chain recall@5 (%)
Qwen3.5 0.8B,34.44444444444444,16.944444444444446,29.814814814814817,3.3333333333333335
Qwen3.5 2B,36.666666666666664,16.85185185185185,33.33333333333333,3.3333333333333335
Qwen3.5 4B,31.11111111111111,13.055555555555557,30.0,1.1111111111111112
Qwen3.5 9B,31.11111111111111,12.5,25.925925925925924,1.1111111111111112
Qwen3 0.6B,44.44444444444444,19.351851851851855,39.72222222222222,1.1111111111111112
Qwen3 1.7B,34.44444444444444,15.74074074074074,32.77777777777778,3.3333333333333335
Qwen3 4B,25.555555555555554,11.574074074074073,23.333333333333332,2.2222222222222223
Qwen3 8B,47.77777777777778,23.240740740740744,37.629629629629626,6.666666666666667
Gemma 3 270M,46.666666666666664,22.87037037037037,37.407407407407405,5.555555555555555
Gemma 3 1B,46.666666666666664,22.22222222222222,35.92592592592593,3.3333333333333335
Gemma 3 4B,42.22222222222222,18.148148148148145,34.81481481481482,2.2222222222222223
Gemma 3 12B,43.333333333333336,19.62962962962963,37.03703703703704,4.444444444444445
