Model,Retrieval hit rate (%),Gold-document recall (%),Mean reciprocal rank (%),Complete-chain recall@5 (%)
Qwen3.5 0.8B,25.555555555555554,11.666666666666666,25.0,2.2222222222222223
Qwen3.5 2B,28.888888888888886,12.777777777777777,26.296296296296294,2.2222222222222223
Qwen3.5 4B,23.333333333333332,10.185185185185185,22.037037037037035,2.2222222222222223
Qwen3.5 9B,17.77777777777778,7.037037037037036,17.22222222222222,0.0
Qwen3 0.6B,33.33333333333333,15.462962962962962,32.22222222222222,2.2222222222222223
Qwen3 1.7B,22.22222222222222,8.88888888888889,21.666666666666668,0.0
Qwen3 4B,18.88888888888889,9.62962962962963,18.88888888888889,2.2222222222222223
Qwen3 8B,43.333333333333336,17.77777777777778,33.7962962962963,0.0
Gemma 3 270M,37.77777777777778,16.11111111111111,32.22222222222222,1.1111111111111112
Gemma 3 1B,43.333333333333336,21.666666666666668,37.31481481481482,4.444444444444445
Gemma 3 4B,31.11111111111111,13.425925925925927,27.685185185185183,3.3333333333333335
Gemma 3 12B,31.11111111111111,13.425925925925927,25.64814814814815,0.0
