regime,question_type,retrieval_hit,retrieval_recall,reciprocal_rank,complete_chain_recall_at_5
Native,comparison,0.3111111111111111,0.16064814814814815,0.28726851851851853,0.03888888888888889
Native,inference,0.30277777777777776,0.10810185185185185,0.26666666666666666,0.002777777777777778
Native,temporal,0.2777777777777778,0.12638888888888888,0.2460648148148148,0.008333333333333333
Native,unanswerable,,,,
ER,comparison,0.3861111111111111,0.19398148148148148,0.33796296296296297,0.03888888888888889
ER,inference,0.3611111111111111,0.1363425925925926,0.3261574074074074,0.016666666666666666
ER,temporal,0.40555555555555556,0.1898148148148148,0.33564814814814814,0.025
ER,unanswerable,,,,
ER+RR,comparison,0.3861111111111111,0.20092592592592592,0.3338888888888889,0.05277777777777778
ER+RR,inference,0.36666666666666664,0.13773148148148148,0.3261574074074074,0.013888888888888888
ER+RR,temporal,0.4083333333333333,0.19166666666666668,0.33425925925925926,0.027777777777777776
ER+RR,unanswerable,,,,
