builder_key,contrast,metric,left_regime,right_regime,left_mean,mean_difference,ci_lower,ci_upper,relative_difference_percent,paired_question_count
,Primary: ER+RR−Native,retrieval_hit,Native,ER+RR,0.29722222222222217,0.0898148148148148,0.06296296296296296,0.11666666666666667,30.218068535825548,90
,Primary: ER+RR−Native,retrieval_recall,Native,ER+RR,0.13171296296296295,0.04506172839506173,0.030401234567901236,0.0603395061728395,34.212067955477444,90
,Primary: ER+RR−Native,reciprocal_rank,Native,ER+RR,0.26666666666666666,0.06476851851851853,0.043132716049382715,0.08665123456790123,24.28819444444445,90
,Primary: ER+RR−Native,complete_chain_recall_at_5,Native,ER+RR,0.016666666666666666,0.014814814814814814,0.00462962962962963,0.02685185185185185,88.88888888888889,90
,Secondary: ER−Native,retrieval_hit,Native,ER,0.29722222222222217,0.08703703703703704,0.0611111111111111,0.11388888888888889,29.283489096573216,90
,Secondary: ER−Native,retrieval_recall,Native,ER,0.13171296296296295,0.041666666666666664,0.02746913580246914,0.05655864197530864,31.634446397188047,90
,Secondary: ER−Native,reciprocal_rank,Native,ER,0.26666666666666666,0.06658950617283951,0.04467592592592593,0.08896604938271604,24.971064814814817,90
,Secondary: ER−Native,complete_chain_recall_at_5,Native,ER,0.016666666666666666,0.010185185185185184,0.0009259259259259259,0.022222222222222216,61.1111111111111,90
,Incremental: ER+RR−ER,retrieval_hit,ER,ER+RR,0.3842592592592593,0.002777777777777777,-0.005555555555555556,0.012037037037037037,0.7228915662650599,90
,Incremental: ER+RR−ER,retrieval_recall,ER,ER+RR,0.1733796296296296,0.003395061728395062,-0.001388888888888889,0.008410493827160494,1.958166444147753,90
,Incremental: ER+RR−ER,reciprocal_rank,ER,ER+RR,0.33325617283950615,-0.0018209876543209876,-0.006913580246913579,0.003086419753086419,-0.5464227830516324,90
,Incremental: ER+RR−ER,complete_chain_recall_at_5,ER,ER+RR,0.02685185185185185,0.004629629629629629,-0.0009259259259259259,0.01111111111111111,17.24137931034483,90
