regime,retrieval_depth,count,share
Native,0,232,0.21481481481481482
Native,1,341,0.31574074074074077
Native,2,335,0.3101851851851852
Native,3,134,0.12407407407407407
Native,4,32,0.02962962962962963
Native,5,5,0.004629629629629629
Native,6+,1,0.000925925925925926
ER,0,116,0.10740740740740741
ER,1,396,0.36666666666666664
ER,2,402,0.37222222222222223
ER,3,145,0.13425925925925927
ER,4,19,0.017592592592592594
ER,5,2,0.001851851851851852
ER,6+,0,0.0
ER+RR,0,116,0.10740740740740741
ER+RR,1,421,0.38981481481481484
ER+RR,2,392,0.362962962962963
ER+RR,3,132,0.12222222222222222
ER+RR,4,16,0.014814814814814815
ER+RR,5,3,0.002777777777777778
ER+RR,6+,0,0.0
