metric,regime,mean,ci_lower,ci_upper,question_count
retrieval_hit,Native,0.2972222222222222,0.23703703703703702,0.36018518518518516,90
retrieval_hit,ER,0.3842592592592593,0.3203703703703704,0.4490740740740741,90
retrieval_hit,ER+RR,0.38703703703703696,0.3231481481481482,0.4518518518518519,90
retrieval_recall,Native,0.13171296296296295,0.10177469135802468,0.16389081790123455,90
retrieval_recall,ER,0.17337962962962963,0.14004436728395062,0.20872106481481478,90
retrieval_recall,ER+RR,0.17677469135802468,0.14228202160493827,0.2136574074074074,90
reciprocal_rank,Native,0.2666666666666666,0.20609375000000002,0.3317148919753086,90
reciprocal_rank,ER,0.33325617283950615,0.2701369598765432,0.398070987654321,90
reciprocal_rank,ER+RR,0.3314351851851851,0.2682079475308642,0.39629783950617287,90
complete_chain_recall_at_5,Native,0.016666666666666666,0.002777777777777778,0.03518518518518519,90
complete_chain_recall_at_5,ER,0.02685185185185185,0.009259259259259259,0.04814814814814815,90
complete_chain_recall_at_5,ER+RR,0.03148148148148148,0.01111111111111111,0.0574074074074074,90
