builder_key,display_name,family,parameter_billions,regime,retrieval_hit,retrieval_recall,reciprocal_rank,complete_chain_recall_at_5,evaluated_questions,retrieval_hit_sd
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,Native,0.25555555555555554,0.11666666666666667,0.25,0.022222222222222223,120,0.43861659721311447
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,ER,0.3888888888888889,0.19537037037037036,0.32037037037037036,0.03333333333333333,120,0.49022912424414206
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,ER+RR,0.34444444444444444,0.16944444444444445,0.29814814814814816,0.03333333333333333,120,0.477848904498678
qwen35_2b,Qwen3.5 2B,qwen3.5,2.0,Native,0.28888888888888886,0.12777777777777777,0.26296296296296295,0.022222222222222223,120,0.4557853931339367
qwen35_2b,Qwen3.5 2B,qwen3.5,2.0,ER,0.35555555555555557,0.15925925925925927,0.3277777777777778,0.03333333333333333,120,0.48136302521843183
qwen35_2b,Qwen3.5 2B,qwen3.5,2.0,ER+RR,0.36666666666666664,0.1685185185185185,0.3333333333333333,0.03333333333333333,120,0.48459411952081843
qwen35_4b,Qwen3.5 4B,qwen3.5,4.0,Native,0.23333333333333334,0.10185185185185185,0.22037037037037036,0.022222222222222223,120,0.4253220854887439
qwen35_4b,Qwen3.5 4B,qwen3.5,4.0,ER,0.3111111111111111,0.13055555555555556,0.3,0.011111111111111112,120,0.4655417152513843
qwen35_4b,Qwen3.5 4B,qwen3.5,4.0,ER+RR,0.3111111111111111,0.13055555555555556,0.3,0.011111111111111112,120,0.4655417152513843
qwen35_9b,Qwen3.5 9B,qwen3.5,9.0,Native,0.17777777777777778,0.07037037037037036,0.17222222222222222,0.0,120,0.3844674641127626
qwen35_9b,Qwen3.5 9B,qwen3.5,9.0,ER,0.3,0.12129629629629629,0.2611111111111111,0.011111111111111112,120,0.46082485888002805
qwen35_9b,Qwen3.5 9B,qwen3.5,9.0,ER+RR,0.3111111111111111,0.125,0.25925925925925924,0.011111111111111112,120,0.4655417152513842
qwen3_0_6b,Qwen3 0.6B,qwen3,0.6,Native,0.3333333333333333,0.15462962962962962,0.32222222222222224,0.022222222222222223,120,0.4740454631399773
qwen3_0_6b,Qwen3 0.6B,qwen3,0.6,ER,0.4444444444444444,0.19537037037037036,0.3972222222222222,0.022222222222222223,120,0.4996877926639077
qwen3_0_6b,Qwen3 0.6B,qwen3,0.6,ER+RR,0.4444444444444444,0.19351851851851853,0.3972222222222222,0.011111111111111112,120,0.4996877926639077
qwen3_1_7b,Qwen3 1.7B,qwen3,1.7,Native,0.2222222222222222,0.08888888888888889,0.21666666666666667,0.0,120,0.41806880186893847
qwen3_1_7b,Qwen3 1.7B,qwen3,1.7,ER,0.34444444444444444,0.1574074074074074,0.3277777777777778,0.03333333333333333,120,0.4778489044986781
qwen3_1_7b,Qwen3 1.7B,qwen3,1.7,ER+RR,0.34444444444444444,0.1574074074074074,0.3277777777777778,0.03333333333333333,120,0.4778489044986781
qwen3_4b,Qwen3 4B,qwen3,4.0,Native,0.18888888888888888,0.0962962962962963,0.18888888888888888,0.022222222222222223,120,0.3936131804579368
qwen3_4b,Qwen3 4B,qwen3,4.0,ER,0.26666666666666666,0.11944444444444445,0.24444444444444444,0.022222222222222223,120,0.4446940622369091
qwen3_4b,Qwen3 4B,qwen3,4.0,ER+RR,0.25555555555555554,0.11574074074074073,0.23333333333333334,0.022222222222222223,120,0.4386165972131144
qwen3_8b,Qwen3 8B,qwen3,8.0,Native,0.43333333333333335,0.17777777777777778,0.33796296296296297,0.0,120,0.4983117565757133
qwen3_8b,Qwen3 8B,qwen3,8.0,ER,0.45555555555555555,0.2148148148148148,0.37777777777777777,0.044444444444444446,120,0.5008108282005754
qwen3_8b,Qwen3 8B,qwen3,8.0,ER+RR,0.4777777777777778,0.23240740740740742,0.3762962962962963,0.06666666666666667,120,0.502304303170668
gemma3_270m,Gemma 3 270M,gemma3,0.27,Native,0.37777777777777777,0.16111111111111112,0.32222222222222224,0.011111111111111112,120,0.4875478144866784
gemma3_270m,Gemma 3 270M,gemma3,0.27,ER,0.4222222222222222,0.1851851851851852,0.3592592592592593,0.011111111111111112,120,0.4966806171531968
gemma3_270m,Gemma 3 270M,gemma3,0.27,ER+RR,0.4666666666666667,0.2287037037037037,0.37407407407407406,0.05555555555555555,120,0.5016825622427262
gemma3_1b,Gemma 3 1B,gemma3,1.0,Native,0.43333333333333335,0.21666666666666667,0.3731481481481482,0.044444444444444446,120,0.49831175657571336
gemma3_1b,Gemma 3 1B,gemma3,1.0,ER,0.4777777777777778,0.22962962962962966,0.3703703703703704,0.03333333333333333,120,0.502304303170668
gemma3_1b,Gemma 3 1B,gemma3,1.0,ER+RR,0.4666666666666667,0.2222222222222222,0.3592592592592593,0.03333333333333333,120,0.5016825622427262
gemma3_4b,Gemma 3 4B,gemma3,4.0,Native,0.3111111111111111,0.13425925925925927,0.27685185185185185,0.03333333333333333,120,0.4655417152513842
gemma3_4b,Gemma 3 4B,gemma3,4.0,ER,0.4222222222222222,0.18148148148148147,0.34814814814814815,0.022222222222222223,120,0.4966806171531968
gemma3_4b,Gemma 3 4B,gemma3,4.0,ER+RR,0.4222222222222222,0.18148148148148147,0.34814814814814815,0.022222222222222223,120,0.4966806171531968
gemma3_12b,Gemma 3 12B,gemma3,12.0,Native,0.3111111111111111,0.13425925925925927,0.2564814814814815,0.0,120,0.4655417152513843
gemma3_12b,Gemma 3 12B,gemma3,12.0,ER,0.4222222222222222,0.19074074074074077,0.3648148148148148,0.044444444444444446,120,0.4966806171531968
gemma3_12b,Gemma 3 12B,gemma3,12.0,ER+RR,0.43333333333333335,0.1962962962962963,0.3703703703703704,0.044444444444444446,120,0.4983117565757133
