builder_key,display_name,family,parameter_billions,mean_difference,ci_lower,ci_upper
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,0.03333333333333333,-0.03333333333333333,0.1
qwen35_2b,Qwen3.5 2B,qwen3.5,2.0,0.05,-0.03333333333333333,0.125
qwen35_4b,Qwen3.5 4B,qwen3.5,4.0,0.03333333333333333,-0.025,0.09166666666666666
qwen35_9b,Qwen3.5 9B,qwen3.5,9.0,0.058333333333333334,-0.008333333333333333,0.125
qwen3_0_6b,Qwen3 0.6B,qwen3,0.6,0.06666666666666667,0.008333333333333333,0.125
qwen3_1_7b,Qwen3 1.7B,qwen3,1.7,-0.016666666666666666,-0.075,0.041666666666666664
qwen3_4b,Qwen3 4B,qwen3,4.0,0.025,-0.025,0.075
qwen3_8b,Qwen3 8B,qwen3,8.0,0.025,-0.05,0.1
gemma3_270m,Gemma 3 270M,gemma3,0.27,0.0,-0.06666666666666667,0.06666666666666667
gemma3_1b,Gemma 3 1B,gemma3,1.0,0.008333333333333333,-0.058333333333333334,0.075
gemma3_4b,Gemma 3 4B,gemma3,4.0,0.025,-0.03333333333333333,0.08333333333333333
gemma3_12b,Gemma 3 12B,gemma3,12.0,0.058333333333333334,0.0,0.125
