Model,Answer correctness (%),Token F1 (%),Over-abstention rate (%),Hallucination rate (%)
Qwen3.5 0.8B,36.666666666666664,21.666666666666668,64.44444444444444,16.666666666666664
Qwen3.5 2B,34.166666666666664,24.640777901647468,58.88888888888889,30.0
Qwen3.5 4B,31.666666666666664,16.788653733098176,66.66666666666666,20.0
Qwen3.5 9B,35.833333333333336,19.218106995884774,66.66666666666666,13.333333333333334
Qwen3 0.6B,30.0,16.565656565656568,67.77777777777779,26.666666666666668
Qwen3 1.7B,30.833333333333336,18.209876543209877,65.55555555555556,26.666666666666668
Qwen3 4B,32.5,15.1010101010101,68.88888888888889,13.333333333333334
Qwen3 8B,30.833333333333336,19.181818181818183,57.77777777777777,26.666666666666668
Gemma 3 270M,27.500000000000004,16.91178451178451,61.111111111111114,36.666666666666664
Gemma 3 1B,30.0,18.88888888888889,61.111111111111114,33.33333333333333
Gemma 3 4B,29.166666666666668,19.437946718648472,57.77777777777777,36.666666666666664
Gemma 3 12B,36.666666666666664,19.961223092157628,62.22222222222222,10.0
