Model,Answer correctness (%),Token F1 (%),Over-abstention rate (%),Hallucination rate (%)
Qwen3.5 0.8B,31.666666666666664,15.193236714975846,64.44444444444444,16.666666666666664
Qwen3.5 2B,31.666666666666664,22.352693602693602,58.88888888888889,33.33333333333333
Qwen3.5 4B,32.5,16.87728937728938,66.66666666666666,16.666666666666664
Qwen3.5 9B,34.166666666666664,16.99588477366255,68.88888888888889,13.333333333333334
Qwen3 0.6B,31.666666666666664,18.01169590643275,67.77777777777779,26.666666666666668
Qwen3 1.7B,31.666666666666664,19.320987654320987,65.55555555555556,26.666666666666668
Qwen3 4B,32.5,14.937611408199643,66.66666666666666,10.0
Qwen3 8B,30.833333333333336,19.77777777777778,53.333333333333336,26.666666666666668
Gemma 3 270M,29.166666666666668,17.84722222222222,63.33333333333333,33.33333333333333
Gemma 3 1B,30.0,18.78787878787879,63.33333333333333,33.33333333333333
Gemma 3 4B,30.833333333333336,18.932896213597967,60.0,30.0
Gemma 3 12B,37.5,21.0907376999331,58.88888888888889,10.0
