Model,Answer correctness (%),Token F1 (%),Over-abstention rate (%),Hallucination rate (%)
Qwen3.5 0.8B,28.333333333333332,12.894736842105262,63.33333333333333,23.333333333333332
Qwen3.5 2B,26.666666666666668,15.929377406079915,63.33333333333333,36.666666666666664
Qwen3.5 4B,29.166666666666668,15.581228956228957,63.33333333333333,26.666666666666668
Qwen3.5 9B,28.333333333333332,15.128715426636319,67.77777777777779,26.666666666666668
Qwen3 0.6B,25.0,11.13022113022113,74.44444444444444,26.666666666666668
Qwen3 1.7B,33.33333333333333,16.00972767639434,67.77777777777779,13.333333333333334
Qwen3 4B,30.0,16.74074074074074,66.66666666666666,23.333333333333332
Qwen3 8B,28.333333333333332,24.074074074074076,48.888888888888886,53.333333333333336
Gemma 3 270M,29.166666666666668,15.89436026936027,66.66666666666666,26.666666666666668
Gemma 3 1B,29.166666666666668,18.979591836734695,54.44444444444444,36.666666666666664
Gemma 3 4B,28.333333333333332,15.830687830687829,67.77777777777779,33.33333333333333
Gemma 3 12B,31.666666666666664,16.80186527106817,57.77777777777777,20.0
