regime,question_type,answer_correct,token_f1,over_abstention,hallucination,unanswerable_correct
Native,comparison,0.041666666666666664,0.041666666666666664,0.6944444444444444,,
Native,inference,0.33055555555555555,0.37029255145506207,0.35555555555555557,,
Native,temporal,0.075,0.07552910052910053,0.8555555555555555,,
Native,unanswerable,0.7111111111111111,,,0.28888888888888886,0.7111111111111111
ER,comparison,0.06111111111111111,0.06111111111111111,0.6777777777777778,,
ER,inference,0.4111111111111111,0.44955859676763915,0.3194444444444444,,
ER,temporal,0.05555555555555555,0.05576131687242798,0.9,,
ER,unanswerable,0.7583333333333333,,,0.24166666666666667,0.7583333333333333
ER+RR,comparison,0.05277777777777778,0.05277777777777778,0.6805555555555556,,
ER+RR,inference,0.4,0.438997907919478,0.3277777777777778,,
ER+RR,temporal,0.058333333333333334,0.05853909465020576,0.8861111111111111,,
ER+RR,unanswerable,0.7694444444444445,,,0.23055555555555557,0.7694444444444445
