builder_key,contrast,metric,left_regime,right_regime,left_mean,mean_difference,ci_lower,ci_upper,relative_difference_percent,paired_question_count
,Primary: ER+RR−Native,answer_correct,Native,ER+RR,0.28958333333333336,0.030555555555555555,0.011805555555555554,0.05,10.5515587529976,120
,Primary: ER+RR−Native,token_f1,Native,ER+RR,0.16249610621694308,0.020942153898877422,0.00280306657602746,0.03981167295866818,12.887788136238944,90
,Primary: ER+RR−Native,over_abstention,Native,ER+RR,0.6351851851851851,-0.003703703703703705,-0.0324074074074074,0.024097222222221888,-0.5830903790087467,90
,Primary: ER+RR−Native,hallucination,Native,ER+RR,0.2888888888888889,-0.058333333333333334,-0.11388888888888889,-0.0055555555555555575,-20.19230769230769,30
,Primary: ER+RR−Native,unanswerable_correct,Native,ER+RR,0.7111111111111111,0.058333333333333334,0.0055555555555555575,0.11388888888888889,8.203125,30
,Secondary: ER−Native,answer_correct,Native,ER,0.28958333333333336,0.03194444444444444,0.013194444444444443,0.05138888888888889,11.031175059952037,120
,Secondary: ER−Native,token_f1,Native,ER,0.16249610621694308,0.026314235366783005,0.007387748518520945,0.04554254927349932,16.19376364111258,90
,Secondary: ER−Native,over_abstention,Native,ER,0.6351851851851851,-0.002777777777777778,-0.030555555555555544,0.025,-0.43731778425655987,90
,Secondary: ER−Native,hallucination,Native,ER,0.2888888888888889,-0.04722222222222223,-0.09444444444444441,9.251858538542971e-19,-16.346153846153847,30
,Secondary: ER−Native,unanswerable_correct,Native,ER,0.7111111111111111,0.04722222222222223,-9.251858538542971e-19,0.09444444444444441,6.640625000000001,30
,Incremental: ER+RR−ER,answer_correct,ER,ER+RR,0.32152777777777775,-0.001388888888888888,-0.011805555555555554,0.00972222222222222,-0.43196544276457866,120
,Incremental: ER+RR−ER,token_f1,ER,ER+RR,0.18881034158372612,-0.005372081467905577,-0.015774206514010604,0.005658330097165426,-2.8452262851944368,90
,Incremental: ER+RR−ER,over_abstention,ER,ER+RR,0.6324074074074073,-0.0009259259259259239,-0.01574074074074074,0.012962962962962964,-0.14641288433382108,90
,Incremental: ER+RR−ER,hallucination,ER,ER+RR,0.24166666666666664,-0.01111111111111111,-0.04444444444444444,0.016666666666666666,-4.597701149425287,30
,Incremental: ER+RR−ER,unanswerable_correct,ER,ER+RR,0.7583333333333333,0.01111111111111111,-0.016666666666666666,0.04444444444444444,1.465201465201465,30
