metric,regime,mean,ci_lower,ci_upper,question_count
answer_correct,Native,0.28958333333333336,0.2444444444444444,0.33541666666666664,120
answer_correct,ER,0.32152777777777775,0.2763888888888889,0.36597222222222214,120
answer_correct,ER+RR,0.3201388888888889,0.27638888888888885,0.3631944444444445,120
token_f1,Native,0.1624961062169431,0.11495370704875575,0.21288166775118897,90
token_f1,ER,0.18881034158372612,0.1414496391771265,0.23568876743934597,90
token_f1,ER+RR,0.1834382601158205,0.13611211016704106,0.2299433644382275,90
over_abstention,Native,0.6351851851851852,0.5759259259259258,0.6916666666666667,90
over_abstention,ER,0.6324074074074074,0.575,0.6870370370370371,90
over_abstention,ER+RR,0.6314814814814814,0.575,0.6851851851851852,90
hallucination,Native,0.2888888888888888,0.18888888888888886,0.4,30
hallucination,ER,0.24166666666666667,0.14166666666666666,0.35277777777777786,30
hallucination,ER+RR,0.23055555555555557,0.13333333333333333,0.3388888888888889,30
unanswerable_correct,Native,0.7111111111111111,0.6,0.8111111111111111,30
unanswerable_correct,ER,0.7583333333333333,0.6472222222222221,0.8583333333333333,30
unanswerable_correct,ER+RR,0.7694444444444444,0.6611111111111111,0.8666666666666666,30
