builder_key,display_name,family,parameter_billions,regime,answer_correct,token_f1,answer_exact_match,over_abstention,hallucination,unanswerable_correct,answer_latency_ms,evaluated_questions
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,Native,0.2833333333333333,0.12894736842105262,0.12222222222222222,0.6333333333333333,0.23333333333333334,0.7666666666666667,41386.151827764115,120
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,ER,0.36666666666666664,0.21666666666666667,0.2111111111111111,0.6444444444444445,0.16666666666666666,0.8333333333333334,41332.470174277354,120
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,ER+RR,0.31666666666666665,0.15193236714975847,0.14444444444444443,0.6444444444444445,0.16666666666666666,0.8333333333333334,41221.25834757462,120
qwen35_2b,Qwen3.5 2B,qwen3.5,2.0,Native,0.26666666666666666,0.15929377406079914,0.14444444444444443,0.6333333333333333,0.36666666666666664,0.6333333333333333,40899.68910353782,120
qwen35_2b,Qwen3.5 2B,qwen3.5,2.0,ER,0.3416666666666667,0.24640777901647468,0.2222222222222222,0.5888888888888889,0.3,0.7,40557.29525103234,120
qwen35_2b,Qwen3.5 2B,qwen3.5,2.0,ER+RR,0.31666666666666665,0.22352693602693602,0.2,0.5888888888888889,0.3333333333333333,0.6666666666666666,40892.443795166524,120
qwen35_4b,Qwen3.5 4B,qwen3.5,4.0,Native,0.2916666666666667,0.15581228956228957,0.14444444444444443,0.6333333333333333,0.26666666666666666,0.7333333333333333,40294.14576283307,120
qwen35_4b,Qwen3.5 4B,qwen3.5,4.0,ER,0.31666666666666665,0.16788653733098177,0.15555555555555556,0.6666666666666666,0.2,0.8,40154.35908018844,120
qwen35_4b,Qwen3.5 4B,qwen3.5,4.0,ER+RR,0.325,0.16877289377289378,0.15555555555555556,0.6666666666666666,0.16666666666666666,0.8333333333333334,40131.95140977235,120
qwen35_9b,Qwen3.5 9B,qwen3.5,9.0,Native,0.2833333333333333,0.1512871542663632,0.13333333333333333,0.6777777777777778,0.26666666666666666,0.7333333333333333,40285.01281493324,120
qwen35_9b,Qwen3.5 9B,qwen3.5,9.0,ER,0.35833333333333334,0.19218106995884776,0.18888888888888888,0.6666666666666666,0.13333333333333333,0.8666666666666667,40395.878561388236,120
qwen35_9b,Qwen3.5 9B,qwen3.5,9.0,ER+RR,0.3416666666666667,0.1699588477366255,0.16666666666666666,0.6888888888888889,0.13333333333333333,0.8666666666666667,41176.668764619775,120
qwen3_0_6b,Qwen3 0.6B,qwen3,0.6,Native,0.25,0.1113022113022113,0.08888888888888889,0.7444444444444445,0.26666666666666666,0.7333333333333333,41393.66053127742,120
qwen3_0_6b,Qwen3 0.6B,qwen3,0.6,ER,0.3,0.16565656565656567,0.15555555555555556,0.6777777777777778,0.26666666666666666,0.7333333333333333,42952.98629094614,120
qwen3_0_6b,Qwen3 0.6B,qwen3,0.6,ER+RR,0.31666666666666665,0.18011695906432748,0.17777777777777778,0.6777777777777778,0.26666666666666666,0.7333333333333333,42330.53977012751,120
qwen3_1_7b,Qwen3 1.7B,qwen3,1.7,Native,0.3333333333333333,0.16009727676394342,0.15555555555555556,0.6777777777777778,0.13333333333333333,0.8666666666666667,40625.934432677845,120
qwen3_1_7b,Qwen3 1.7B,qwen3,1.7,ER,0.30833333333333335,0.18209876543209877,0.16666666666666666,0.6555555555555556,0.26666666666666666,0.7333333333333333,43360.47619063174,120
qwen3_1_7b,Qwen3 1.7B,qwen3,1.7,ER+RR,0.31666666666666665,0.19320987654320987,0.17777777777777778,0.6555555555555556,0.26666666666666666,0.7333333333333333,42801.05811149309,120
qwen3_4b,Qwen3 4B,qwen3,4.0,Native,0.3,0.1674074074074074,0.14444444444444443,0.6666666666666666,0.23333333333333334,0.7666666666666667,40007.73919057198,120
qwen3_4b,Qwen3 4B,qwen3,4.0,ER,0.325,0.151010101010101,0.14444444444444443,0.6888888888888889,0.13333333333333333,0.8666666666666667,40715.59547289895,120
qwen3_4b,Qwen3 4B,qwen3,4.0,ER+RR,0.325,0.14937611408199644,0.13333333333333333,0.6666666666666666,0.1,0.9,40584.37346662395,120
qwen3_8b,Qwen3 8B,qwen3,8.0,Native,0.2833333333333333,0.24074074074074076,0.2222222222222222,0.4888888888888889,0.5333333333333333,0.4666666666666667,41244.14129516905,120
qwen3_8b,Qwen3 8B,qwen3,8.0,ER,0.30833333333333335,0.19181818181818183,0.16666666666666666,0.5777777777777777,0.26666666666666666,0.7333333333333333,43499.94641391095,120
