builder_key,display_name,family,parameter_billions,scale_band,native_nodes,native_edges,native_largest_component_share,primary_node_change,primary_edge_change,primary_average_degree_change,primary_lcc_share_change,secondary_node_change,secondary_edge_change,rr_edge_change,rr_lcc_share_change,extraction_total_tokens,extracted_mentions,extracted_relations,er_merge_count,er_candidate_count,er_runtime_seconds,er_judge_tokens,primary_retrieval_hit_effect,primary_retrieval_recall_effect,primary_mrr_effect,primary_answer_correct_effect,primary_token_f1_effect,secondary_retrieval_hit_effect,secondary_answer_correct_effect,incremental_retrieval_hit_effect,incremental_answer_correct_effect,native_retrieval_hit,native_answer_correct,er_merge_rate_per_mention,rr_edge_change_percent_of_er_edges
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,sub_1b,3029.0,2054.0,0.25552987784747444,-34.0,151.0,0.1162309141845852,0.019929220650021395,-34.0,-9.0,160.0,0.01769616026711185,4490535.0,4093.0,2188.0,34.0,11047.0,1048.974583583069,68562.0,0.08888888888888889,0.05277777777777778,0.04814814814814815,0.03333333333333333,0.02298499872870582,0.13333333333333333,0.08333333333333333,-0.044444444444444446,-0.05,0.25555555555555554,0.2833333333333333,0.008306865379916931,7.823960880195599
qwen35_2b,Qwen3.5 2B,qwen3.5,2.0,1_to_lt4b,5825.0,4690.0,0.43416309012875537,-75.0,65.0,0.04361261429371166,0.01644560552341856,-75.0,-13.0,78.0,0.008869565217391295,4323601.0,8003.0,5005.0,78.0,26062.0,1183.7998318339232,116089.0,0.07777777777777778,0.04074074074074074,0.07037037037037036,0.05,0.06423316196613688,0.06666666666666667,0.075,0.011111111111111112,-0.025,0.28888888888888886,0.26666666666666666,0.009746345120579782,1.667735728030789
qwen35_4b,Qwen3.5 4B,qwen3.5,4.0,4_to_lt8b,7256.0,6263.0,0.5190187431091511,-103.0,36.0,0.03492358931904338,0.017539344406576562,-103.0,-24.0,60.0,0.005731860757724028,4567856.0,10846.0,6903.0,105.0,36093.0,2484.088434000034,157383.0,0.07777777777777778,0.0287037037037037,0.07962962962962963,0.03333333333333333,0.01296060421060421,0.07777777777777778,0.025,0.0,0.008333333333333333,0.23333333333333334,0.2916666666666667,0.00968098838281394,0.9616925789389326
qwen35_9b,Qwen3.5 9B,qwen3.5,9.0,8b_plus,6383.0,6085.0,0.6037913206955977,-80.0,12.0,0.028007323216374003,0.0103606704197442,-80.0,-27.0,39.0,0.002697128351578648,4459033.0,9803.0,6815.0,80.0,30338.0,1956.9933967919787,123988.0,0.13333333333333333,0.05462962962962963,0.08703703703703704,0.058333333333333334,0.018671693470262322,0.12222222222222222,0.075,0.011111111111111112,-0.016666666666666666,0.17777777777777778,0.2833333333333333,0.008160767112108539,0.6437768240343348
qwen3_0_6b,Qwen3 0.6B,qwen3,0.6,sub_1b,3092.0,2447.0,0.49902975420439843,-47.0,219.0,0.16827301558978403,0.05663527042614347,-47.0,-4.0,223.0,0.049917898193760246,3983285.0,4448.0,2561.0,48.0,11541.0,1828.9769519580295,161116.0,0.1111111111111111,0.03888888888888889,0.075,0.06666666666666667,0.06881474776211619,0.1111111111111111,0.05,0.0,0.016666666666666666,0.3333333333333333,0.25,0.01079136690647482,9.128121162505117
qwen3_1_7b,Qwen3 1.7B,qwen3,1.7,1_to_lt4b,4404.0,4416.0,0.5617620345140781,-70.0,71.0,0.06515493110051818,0.015072298665432693,-70.0,-33.0,104.0,0.00876788186432853,4626804.0,6113.0,4654.0,70.0,18297.0,2977.7364435000345,262081.0,0.12222222222222222,0.06851851851851852,0.1111111111111111,-0.016666666666666666,0.03311259977926644,0.12222222222222222,-0.025,0.0,0.008333333333333333,0.2222222222222222,0.3333333333333333,0.011451006052674628,2.372804015514488
qwen3_4b,Qwen3 4B,qwen3,4.0,4_to_lt8b,7786.0,6872.0,0.5938864628820961,-223.0,25.0,0.058659787963485366,0.021345587891406503,-223.0,-50.0,75.0,0.005288906518577385,4957355.0,10745.0,7413.0,231.0,44206.0,5372.415355333127,487802.0,0.06666666666666667,0.019444444444444445,0.044444444444444446,0.025,-0.018031293325410973,0.07777777777777778,0.025,-0.011111111111111112,0.0,0.18888888888888888,0.3,0.021498371335504887,1.0993843447669305
qwen3_8b,Qwen3 8B,qwen3,8.0,8b_plus,13441.0,2422.0,0.0987277732311584,-899.0,343.0,0.08052866184811358,0.021029841184405304,-899.0,-12.0,355.0,0.014351778025833206,5706017.0,17869.0,2502.0,945.0,114132.0,5537.995546582853,573764.0,0.044444444444444446,0.05462962962962963,0.03833333333333334,0.025,-0.04296296296296297,0.022222222222222223,0.025,0.022222222222222223,0.0,0.43333333333333335,0.2833333333333333,0.05288488443673401,14.730290456431534
gemma3_270m,Gemma 3 270M,gemma3,0.27,sub_1b,1017.0,158.0,0.007866273352999017,-25.0,278.0,0.568314460621055,0.04152888793732356,-25.0,-1.0,279.0,0.034274193548387094,3159610.0,1424.0,170.0,25.0,2942.0,814.5535155420657,76929.0,0.08888888888888889,0.06759259259259259,0.05185185185185186,0.0,0.019528619528619527,0.044444444444444446,-0.016666666666666666,0.044444444444444446,0.016666666666666666,0.37777777777777777,0.2916666666666667,0.0175561797752809,177.70700636942675
gemma3_1b,Gemma 3 1B,gemma3,1.0,1_to_lt4b,2887.0,1688.0,0.22064426740561136,-67.0,186.0,0.1596980349672168,0.02900112266531063,-67.0,-2.0,188.0,0.024468085106382986,3448025.0,3898.0,1820.0,67.0,10293.0,1760.6265077500138,162557.0,0.03333333333333333,0.005555555555555556,-0.013888888888888888,0.008333333333333333,-0.0019171304885590601,0.044444444444444446,0.008333333333333333,-0.011111111111111112,0.0,0.43333333333333335,0.2916666666666667,0.01718830169317599,11.150652431791222
