family,stage,builders,smallest_parameter_billions,largest_parameter_billions,runtime_log_log_slope,throughput_log_log_slope,runtime_large_to_small_ratio,throughput_large_to_small_ratio,r_squared,peak_memory_available
qwen3.5,Graph Construction,4,0.8,9.0,0.733755624758962,-0.733755624758962,4.909666187836862,0.20367983519478086,0.8396747727957345,False
qwen3.5,ER,4,0.8,9.0,0.7812112876914296,-0.7812112876914296,4.373250685932512,0.22866285786376528,0.6220751959121853,False
qwen3.5,RR,4,0.8,9.0,0.2594438889600802,-0.2594438889600802,1.8238708676973874,0.5482844304994502,0.8203461882958866,False
qwen3.5,Retrieval,4,0.8,9.0,0.005303429859917888,-0.005303429859917888,1.0134036035011444,0.9867736768896053,0.4933869675508,False
qwen3.5,QA,4,0.8,9.0,-0.002707764491896046,0.002707764491896046,0.9990163090281499,1.000984659572582,0.05025117374294863,False
qwen3,Graph Construction,4,0.6,8.0,0.9405986359866344,-0.9405986359866344,11.051047443124915,0.09048915997751152,0.9927843015569955,False
qwen3,ER,4,0.6,8.0,0.5592612948569963,-0.5592612948569963,3.960129530028084,0.25251699279465445,0.9758101410620545,False
qwen3,RR,4,0.6,8.0,0.3162697458336716,-0.3162697458336716,2.1710889181028428,0.46059836226045847,0.9502545687498318,False
qwen3,Retrieval,4,0.6,8.0,0.013534634394949679,-0.013534634394949679,1.0243024094068836,0.9762741850612695,0.25405108733942916,False
qwen3,QA,4,0.6,8.0,-0.009817841655456247,0.009817841655456247,0.9914782747423523,1.0085949692239724,0.21133025786377957,False
gemma3,Graph Construction,4,0.27,12.0,0.8164534917577755,-0.8164534917577755,22.302246971202567,0.04483853135028208,0.999333650508474,False
gemma3,ER,4,0.27,12.0,0.37791823517412054,-0.37791823517412054,3.995016818527306,0.25031183732754164,0.8511579932406814,False
gemma3,RR,4,0.27,12.0,0.24533489899140118,-0.24533489899140118,2.4716838372044445,0.4045824894542471,0.8928892880706759,False
gemma3,Retrieval,4,0.27,12.0,0.01507766451052746,-0.01507766451052746,1.0620548333357331,0.9415709703605138,0.8661912182936018,False
gemma3,QA,4,0.27,12.0,0.002117499690481429,-0.002117499690481429,1.001674614211426,0.9983281854330068,0.13994847312930925,False
