builder_key,display_name,family,parameter_billions,regime,stage,applicable,duration_seconds,duration_hours,workload_count,workload_unit,seconds_per_unit,throughput,throughput_unit,resource_value,resource_unit,resource_measurement,attempt_count_max,retry_excess,total_pipeline_hours,stage_share
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,Native,Graph Construction,True,12098.85003,3.3607916749999998,440,chunk,27.49738643181818,130.92153354015912,chunks/hour,4490535.0,tokens,builder LLM input + output tokens,1.0,0.0,4.91683737,0.6835271175544291
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,Native,ER,False,0.0,0.0,0,document,,,documents/hour,,,ER judge tokens,0.0,0.0,4.91683737,0.0
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,Native,RR,False,0.0,0.0,0,document,,,documents/hour,,,token or memory consumption not recorded,0.0,0.0,4.91683737,0.0
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,Native,Retrieval,True,633.511979,0.1759755497222222,120,question,5.279266491666666,11.365215242441375,questions/minute,664393.0,tokens,retrieved context tokens supplied to QA,1.0,0.0,4.91683737,0.03579039461340212
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,Native,QA,True,4968.252523,1.3800701452777777,120,question,41.40210435833333,86.9521019714883,questions/hour,705870.0,tokens,answer-model total tokens,1.0,0.0,4.91683737,0.2806824878321688
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,ER,Graph Construction,True,12098.85003,3.3607916749999998,440,chunk,27.49738643181818,130.92153354015912,chunks/hour,4490535.0,tokens,builder LLM input + output tokens,1.0,0.0,5.398666174722223,0.622522594698666
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,ER,ER,True,1669.978067,0.4638827963888889,155,document,10.774052045161291,334.13612491474714,documents/hour,68562.0,tokens,ER judge tokens,2.0,1.0,5.398666174722223,0.08592544554076953
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,ER,RR,False,0.0,0.0,0,document,,,documents/hour,,,token or memory consumption not recorded,0.0,0.0,5.398666174722223,0.0
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,ER,Retrieval,True,703.947038,0.1955408438888889,120,question,5.866225316666667,10.22804218404851,questions/minute,664540.0,tokens,retrieved context tokens supplied to QA,1.0,0.0,5.398666174722223,0.03622021394922609
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,ER,QA,True,4962.423094,1.3784508594444445,120,question,41.35352578333333,87.05424584258554,questions/hour,705532.0,tokens,answer-model total tokens,1.0,0.0,5.398666174722223,0.2553317458113383
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,ER+RR,Graph Construction,True,12098.85003,3.3607916749999998,440,chunk,27.49738643181818,130.92153354015912,chunks/hour,4490535.0,tokens,builder LLM input + output tokens,1.0,0.0,8.792820750277778,0.38221996904620487
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,ER+RR,ER,True,1669.978067,0.4638827963888889,155,document,10.774052045161291,334.13612491474714,documents/hour,68562.0,tokens,ER judge tokens,2.0,1.0,8.792820750277778,0.052756994548562156
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,ER+RR,RR,True,12328.798045,3.424666123611111,155,document,79.5406325483871,45.25988648393016,documents/hour,,,token or memory consumption not recorded,1.0,0.0,8.792820750277778,0.3894843555753051
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,ER+RR,Retrieval,True,607.388901,0.16871913916666667,120,question,5.0615741750000005,11.854019703267511,questions/minute,664364.0,tokens,retrieved context tokens supplied to QA,1.0,0.0,8.792820750277778,0.019188283709904653
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,ER+RR,QA,True,4949.139658,1.3747610161111112,120,question,41.242830483333336,87.28789847376741,questions/hour,704682.0,tokens,answer-model total tokens,1.0,0.0,8.792820750277778,0.15635039712002322
