builder_key,display_name,family,parameter_billions,regime,retrieval_latency_mean_s,retrieval_latency_p95_s,answer_latency_mean_s,answer_latency_p95_s,context_tokens_mean,answer_tokens_mean,retrieval_mrr,qa_accuracy,questions
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,Native,5.263251572921096,6.664652824413496,41.38615182776412,46.294584750308424,5536.608333333334,5882.25,0.25,0.2833333333333333,120
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,ER,5.8419529125016805,8.906464391760524,41.332470174277354,46.380735883000305,5537.833333333333,5879.433333333333,0.32037037037037036,0.36666666666666664,120
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,ER+RR,5.040372083322533,6.578643376810942,41.22125834757462,46.51999110070756,5536.366666666667,5872.35,0.29814814814814816,0.31666666666666665,120
qwen35_2b,Qwen3.5 2B,qwen3.5,2.0,Native,4.985796515299201,6.501239422545768,40.899689103537824,46.28189586209483,5522.141666666666,5823.191666666667,0.26296296296296295,0.26666666666666666,120
qwen35_2b,Qwen3.5 2B,qwen3.5,2.0,ER,5.102492640250905,6.579578926484101,40.557295251032336,45.34835842307657,5474.658333333334,5784.091666666666,0.3277777777777778,0.3416666666666667,120
qwen35_2b,Qwen3.5 2B,qwen3.5,2.0,ER+RR,5.08785083021891,6.518047879543156,40.89244379516652,45.53930058607366,5505.15,5817.883333333333,0.3333333333333333,0.31666666666666665,120
qwen35_4b,Qwen3.5 4B,qwen3.5,4.0,Native,5.023385631278506,6.5458293274394235,40.29414576283307,45.30823486287263,5403.625,5728.941666666667,0.22037037037037036,0.2916666666666667,120
qwen35_4b,Qwen3.5 4B,qwen3.5,4.0,ER,5.1441981142445,6.544194741395768,40.15435908018844,45.475919712753964,5405.0,5720.591666666666,0.3,0.31666666666666665,120
qwen35_4b,Qwen3.5 4B,qwen3.5,4.0,ER+RR,5.119475436767486,6.565964633377734,40.13195140977235,45.168570843886116,5400.058333333333,5715.575,0.3,0.325,120
qwen35_9b,Qwen3.5 9B,qwen3.5,9.0,Native,5.091637121876314,6.545180466992314,40.28501281493324,45.17614056399907,5435.308333333333,5710.691666666667,0.17222222222222222,0.2833333333333333,120
qwen35_9b,Qwen3.5 9B,qwen3.5,9.0,ER,5.0882308979227675,6.58151882122038,40.39587856138824,44.56440386234317,5464.291666666667,5752.858333333334,0.2611111111111111,0.35833333333333334,120
qwen35_9b,Qwen3.5 9B,qwen3.5,9.0,ER+RR,5.104546102444874,6.631873668474145,41.17666876461978,46.16994324593106,5470.625,5759.8,0.25925925925925924,0.3416666666666667,120
qwen3_0_6b,Qwen3 0.6B,qwen3,0.6,Native,5.029757933390404,6.527573659812333,41.39366053127742,45.3528835940524,5543.341666666666,5907.008333333333,0.32222222222222224,0.25,120
