builder_key,display_name,family,parameter_billions,regime,Graph Construction,ER,RR,Retrieval,QA
gemma3_12b,Gemma 3 12B,gemma3,12.0,Native,0.9091636190163911,0.0,0.0,0.0098085990353603,0.08102778194824857
gemma3_12b,Gemma 3 12B,gemma3,12.0,ER,0.8337793781236317,0.07610985899632776,0.0,0.011465909880018868,0.07864485300002172
gemma3_12b,Gemma 3 12B,gemma3,12.0,ER+RR,0.6659734558829524,0.06079203582201428,0.20609632403582837,0.007654540529282651,0.059483643729922285
gemma3_1b,Gemma 3 1B,gemma3,1.0,Native,0.5543352122402878,0.0,0.0,0.04782582967480912,0.3978389580849031
gemma3_1b,Gemma 3 1B,gemma3,1.0,ER,0.4427893756961356,0.1977244225340699,0.0,0.03887122008873936,0.3206149816810551
gemma3_1b,Gemma 3 1B,gemma3,1.0,ER+RR,0.2525097896653294,0.11275643700186559,0.4338456542852546,0.022201012085961497,0.17868710696158896
gemma3_270m,Gemma 3 270M,gemma3,0.27,Native,0.31128261893240594,0.0,0.0,0.0739410882367409,0.6147762928308532
gemma3_270m,Gemma 3 270M,gemma3,0.27,ER,0.26399868122702597,0.13453074092861633,0.0,0.06375254677526196,0.5377180310690958
gemma3_270m,Gemma 3 270M,gemma3,0.27,ER+RR,0.1530933576231631,0.07801464286324376,0.42748942645482313,0.03695049293662497,0.304452080122145
gemma3_4b,Gemma 3 4B,gemma3,4.0,Native,0.7942378317200026,0.0,0.0,0.02250982098148935,0.18325234729850814
gemma3_4b,Gemma 3 4B,gemma3,4.0,ER,0.6552455223739644,0.17178080410609448,0.0,0.01903754612191039,0.1539361273980308
gemma3_4b,Gemma 3 4B,gemma3,4.0,ER+RR,0.42732703519601534,0.11202912376461834,0.3476510098022456,0.01241983809038172,0.100572993146739
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,Native,0.6835271175544291,0.0,0.0,0.03579039461340212,0.2806824878321688
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,ER,0.622522594698666,0.08592544554076953,0.0,0.03622021394922609,0.2553317458113383
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,ER+RR,0.38221996904620487,0.052756994548562156,0.3894843555753051,0.019188283709904653,0.15635039712002322
qwen35_2b,Qwen3.5 2B,qwen3.5,2.0,Native,0.6796303194531818,0.0,0.0,0.03493085335008248,0.28543882719673586
qwen35_2b,Qwen3.5 2B,qwen3.5,2.0,ER,0.6366123583195052,0.06474715039033915,0.0,0.033495620673452256,0.2651448706167034
qwen35_2b,Qwen3.5 2B,qwen3.5,2.0,ER+RR,0.3170580811516904,0.032246636425643946,0.500806999889263,0.016737552103366967,0.13315073043003564
qwen35_4b,Qwen3.5 4B,qwen3.5,4.0,Native,0.8764683135627837,0.0,0.0,0.013747288576087776,0.10978439786112854
qwen35_4b,Qwen3.5 4B,qwen3.5,4.0,ER,0.7296811182754439,0.16750965586667102,0.0,0.011722074543974764,0.09108715131391053
qwen35_4b,Qwen3.5 4B,qwen3.5,4.0,ER+RR,0.5051993076164616,0.11597636288427156,0.30771450898178854,0.008078246839419285,0.06303157367805894
qwen35_9b,Qwen3.5 9B,qwen3.5,9.0,Native,0.9159591599617779,0.0,0.0,0.009465744895825717,0.07457509514239642
qwen35_9b,Qwen3.5 9B,qwen3.5,9.0,ER,0.8230965587738972,0.1011975195369592,0.0,0.008503420798745083,0.06720250089039856
qwen35_9b,Qwen3.5 9B,qwen3.5,9.0,ER+RR,0.6269236002708369,0.07707857919014396,0.2373194785635608,0.00649632668262713,0.05218201529283126
qwen3_0_6b,Qwen3 0.6B,qwen3,0.6,Native,0.612218230746183,0.0,0.0,0.0421390678572661,0.345642701396551
qwen3_0_6b,Qwen3 0.6B,qwen3,0.6,ER,0.47696850496710214,0.19514272875094646,0.0,0.04843467773441649,0.27945408854753495
qwen3_0_6b,Qwen3 0.6B,qwen3,0.6,ER+RR,0.2764450602688319,0.11310231776058366,0.42938029625919844,0.021436890646258883,0.15963543506512715
qwen3_1_7b,Qwen3 1.7B,qwen3,1.7,Native,0.777105168954063,0.0,0.0,0.024808270976927622,0.19808656006900935
qwen3_1_7b,Qwen3 1.7B,qwen3,1.7,ER,0.6115582006584116,0.2019609753009663,0.0,0.02008066237500693,0.16640016166561528
qwen3_1_7b,Qwen3 1.7B,qwen3,1.7,ER+RR,0.4055149086897317,0.13391724020688112,0.33748761852707726,0.013836772094056893,0.109243460482253
qwen3_4b,Qwen3 4B,qwen3,4.0,Native,0.9017594988425909,0.0,0.0,0.010964568904577988,0.08727593225283121
qwen3_4b,Qwen3 4B,qwen3,4.0,ER,0.7365060466685821,0.18056678358176584,0.0,0.010373364603072432,0.07255380514657961
qwen3_4b,Qwen3 4B,qwen3,4.0,ER+RR,0.5398400404744715,0.13235082074076854,0.26727723188569624,0.00752123166306207,0.053010675236001635
qwen3_8b,Qwen3 8B,qwen3,8.0,Native,0.9459582509419295,0.0,0.0,0.005894717846134228,0.04814703121193634
qwen3_8b,Qwen3 8B,qwen3,8.0,ER,0.8285370220439449,0.1214732182890878,0.0,0.005506182794757837,0.04448357687220954
qwen3_8b,Qwen3 8B,qwen3,8.0,ER+RR,0.6619213819339547,0.09704541665443321,0.20198255182564726,0.004757558308115485,0.03429309127784954
