builder_key,contrast,metric,left_regime,right_regime,left_mean,mean_difference,ci_lower,ci_upper,relative_difference_percent,paired_question_count,display_name,family,parameter_billions,scale_band
qwen35_0_8b,Incremental: ER+RR−ER,retrieval_hit,ER,ER+RR,0.3888888888888889,-0.044444444444444446,-0.08888888888888889,-0.011111111111111112,-11.428571428571429,90,Qwen3.5 0.8B,qwen3.5,0.8,sub_1b
qwen35_0_8b,Incremental: ER+RR−ER,retrieval_recall,ER,ER+RR,0.19537037037037036,-0.02592592592592592,-0.04814814814814815,-0.007407407407407407,-13.270142180094785,90,Qwen3.5 0.8B,qwen3.5,0.8,sub_1b
qwen35_0_8b,Incremental: ER+RR−ER,reciprocal_rank,ER,ER+RR,0.3203703703703704,-0.022222222222222223,-0.044444444444444446,-0.005555555555555556,-6.9364161849710975,90,Qwen3.5 0.8B,qwen3.5,0.8,sub_1b
qwen35_0_8b,Incremental: ER+RR−ER,answer_correct,ER,ER+RR,0.36666666666666664,-0.05,-0.1,-0.008333333333333333,-13.636363636363637,120,Qwen3.5 0.8B,qwen3.5,0.8,sub_1b
qwen35_0_8b,Incremental: ER+RR−ER,token_f1,ER,ER+RR,0.21666666666666667,-0.06473429951690822,-0.11835748792270531,-0.022222222222222223,-29.87736900780379,90,Qwen3.5 0.8B,qwen3.5,0.8,sub_1b
qwen35_2b,Incremental: ER+RR−ER,retrieval_hit,ER,ER+RR,0.35555555555555557,0.011111111111111112,0.0,0.03333333333333333,3.125,90,Qwen3.5 2B,qwen3.5,2.0,1_to_lt4b
qwen35_2b,Incremental: ER+RR−ER,retrieval_recall,ER,ER+RR,0.15925925925925924,0.009259259259259259,0.0,0.024074074074074074,5.813953488372093,90,Qwen3.5 2B,qwen3.5,2.0,1_to_lt4b
qwen35_2b,Incremental: ER+RR−ER,reciprocal_rank,ER,ER+RR,0.3277777777777778,0.005555555555555556,0.0,0.016666666666666666,1.6949152542372883,90,Qwen3.5 2B,qwen3.5,2.0,1_to_lt4b
qwen35_2b,Incremental: ER+RR−ER,answer_correct,ER,ER+RR,0.3416666666666667,-0.025,-0.058333333333333334,0.0,-7.317073170731708,120,Qwen3.5 2B,qwen3.5,2.0,1_to_lt4b
qwen35_2b,Incremental: ER+RR−ER,token_f1,ER,ER+RR,0.24640777901647468,-0.022880842989538644,-0.056984702093397746,0.0035483035483035484,-9.285763250197082,90,Qwen3.5 2B,qwen3.5,2.0,1_to_lt4b
qwen35_4b,Incremental: ER+RR−ER,retrieval_hit,ER,ER+RR,0.3111111111111111,0.0,0.0,0.0,0.0,90,Qwen3.5 4B,qwen3.5,4.0,4_to_lt8b
