question_type,metric,er_mean,er_rr_mean,incremental_difference
comparison,retrieval_hit,0.3861111111111111,0.3861111111111111,0.0
comparison,retrieval_recall,0.19398148148148148,0.20092592592592592,0.0069444444444444475
comparison,answer_correct,0.06111111111111111,0.05277777777777778,-0.008333333333333331
comparison,token_f1,0.06111111111111111,0.05277777777777778,-0.008333333333333331
inference,retrieval_hit,0.3611111111111111,0.36666666666666664,0.005555555555555536
inference,retrieval_recall,0.1363425925925926,0.13773148148148148,0.001388888888888884
inference,answer_correct,0.4111111111111111,0.4,-0.011111111111111072
inference,token_f1,0.44955859676763915,0.438997907919478,-0.010560688848161137
temporal,retrieval_hit,0.40555555555555556,0.4083333333333333,0.002777777777777768
temporal,retrieval_recall,0.1898148148148148,0.19166666666666668,0.0018518518518518823
temporal,answer_correct,0.05555555555555555,0.058333333333333334,0.002777777777777782
temporal,token_f1,0.05576131687242798,0.05853909465020576,0.002777777777777775
unanswerable,retrieval_hit,,,
unanswerable,retrieval_recall,,,
unanswerable,answer_correct,0.7583333333333333,0.7694444444444445,0.011111111111111183
unanswerable,token_f1,,,
